DEBUG 2024-08-14 08:42:14,774 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1723565336.7248516
DEBUG 2024-08-14 08:42:14,774 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1723565336.6002378
DEBUG 2024-08-14 08:42:14,774 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1723565316.2638967
DEBUG 2024-08-14 08:42:14,775 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\subprocess.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,775 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1723565322.7682447
DEBUG 2024-08-14 08:42:14,775 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\ultimate_texas_holdem\urls.py first seen with mtime 1723584023.2794697
DEBUG 2024-08-14 08:42:14,776 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1723565335.6920588
DEBUG 2024-08-14 08:42:14,776 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\selector_events.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,776 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\zoneinfo\__init__.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,777 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\multiprocessing\context.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,777 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1723565335.901242
DEBUG 2024-08-14 08:42:14,777 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\wsgiref\simple_server.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,777 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\_header_value_parser.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,778 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\validators.py first seen with mtime 1723565335.771857
DEBUG 2024-08-14 08:42:14,778 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1723565336.5780072
DEBUG 2024-08-14 08:42:14,779 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1723565333.4422817
DEBUG 2024-08-14 08:42:14,779 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1723565339.411835
DEBUG 2024-08-14 08:42:14,780 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\html.py first seen with mtime 1723565339.279219
DEBUG 2024-08-14 08:42:14,780 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1723565316.3767915
DEBUG 2024-08-14 08:42:14,780 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1723565339.1022398
DEBUG 2024-08-14 08:42:14,781 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\abc.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,781 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\log.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,781 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1723565336.426334
DEBUG 2024-08-14 08:42:14,782 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\middleware\common.py first seen with mtime 1723565338.4688394
DEBUG 2024-08-14 08:42:14,782 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1723565335.6960986
DEBUG 2024-08-14 08:42:14,782 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1723565318.5886753
DEBUG 2024-08-14 08:42:14,782 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1723565335.919373
DEBUG 2024-08-14 08:42:14,783 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\game\game_logic.py first seen with mtime 1723639240.4436355
DEBUG 2024-08-14 08:42:14,783 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\_markupbase.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,783 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1723565339.1908379
DEBUG 2024-08-14 08:42:14,783 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1723565339.354266
DEBUG 2024-08-14 08:42:14,784 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1723565335.6038945
DEBUG 2024-08-14 08:42:14,784 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1723565336.366907
DEBUG 2024-08-14 08:42:14,784 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\ipaddress.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,784 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1723565324.6591158
DEBUG 2024-08-14 08:42:14,785 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\mime\base.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,785 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1723565335.9917555
DEBUG 2024-08-14 08:42:14,785 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1723565336.3823075
DEBUG 2024-08-14 08:42:14,785 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1723565336.8222055
DEBUG 2024-08-14 08:42:14,786 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1723565336.8414204
DEBUG 2024-08-14 08:42:14,786 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1723565339.1943674
DEBUG 2024-08-14 08:42:14,786 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\html\entities.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,786 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1723565336.8986168
DEBUG 2024-08-14 08:42:14,787 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django_htmx\__init__.py first seen with mtime 1723569034.2667994
DEBUG 2024-08-14 08:42:14,787 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\multiprocessing\reduction.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,787 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\migrations\loader.py first seen with mtime 1723565336.6651964
DEBUG 2024-08-14 08:42:14,787 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1723565318.6112616
DEBUG 2024-08-14 08:42:14,788 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1723565336.941623
DEBUG 2024-08-14 08:42:14,788 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\_sitebuiltins.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,788 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1723565316.3742628
DEBUG 2024-08-14 08:42:14,788 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1723565321.3322845
DEBUG 2024-08-14 08:42:14,788 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1723565336.712132
DEBUG 2024-08-14 08:42:14,789 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1723565339.1571817
DEBUG 2024-08-14 08:42:14,789 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1723565336.0217047
DEBUG 2024-08-14 08:42:14,789 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\__init__.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,789 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1723565324.7453673
DEBUG 2024-08-14 08:42:14,790 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\warnings.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,790 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1723565322.805876
DEBUG 2024-08-14 08:42:14,790 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1723565339.1888242
